name,symbol,price,date
Bitcoin BTC,BTC,"$67,119",2026-02-11
Ethereum ETH,ETH,"$1,952",2026-02-11
Tether USDT,USDT,$1.00,2026-02-11
Binance Coin BNB,BNB,$592.67,2026-02-11
Bitcoin BTC,BTC,"$67,470",2026-02-11
Ethereum ETH,ETH,"$1,960",2026-02-11
Tether USDT,USDT,$1.00,2026-02-11
Binance Coin BNB,BNB,$597.90,2026-02-11
Bitcoin BTC,BTC,"$68,068",2026-02-12
Ethereum ETH,ETH,"$1,989",2026-02-12
Tether USDT,USDT,$1.00,2026-02-12
Binance Coin BNB,BNB,$616.65,2026-02-12
Bitcoin BTC,BTC,"$67,292",2026-02-13
Ethereum ETH,ETH,"$1,971",2026-02-13
Tether USDT,USDT,$1.00,2026-02-13
Binance Coin BNB,BNB,$598.29,2026-02-13
Bitcoin BTC,BTC,"$69,284",2026-02-14
Ethereum ETH,ETH,"$2,069",2026-02-14
Tether USDT,USDT,$1.00,2026-02-14
Binance Coin BNB,BNB,$627.10,2026-02-14
Bitcoin BTC,BTC,"$69,080",2026-02-15
Ethereum ETH,ETH,"$2,013",2026-02-15
Tether USDT,USDT,$1.00,2026-02-15
XRP XRP,XRP,$1.53,2026-02-15
Bitcoin BTC,BTC,"$68,265",2026-02-16
Ethereum ETH,ETH,"$1,963",2026-02-16
Tether USDT,USDT,$1.00,2026-02-16
XRP XRP,XRP,$1.48,2026-02-16
Bitcoin BTC,BTC,"$68,172",2026-02-17
Ethereum ETH,ETH,"$1,987",2026-02-17
Tether USDT,USDT,$1.00,2026-02-17
XRP XRP,XRP,$1.46,2026-02-17
Bitcoin BTC,BTC,"$67,117",2026-02-18
Ethereum ETH,ETH,"$1,967",2026-02-18
Tether USDT,USDT,$1.00,2026-02-18
XRP XRP,XRP,$1.47,2026-02-18
Bitcoin BTC,BTC,"$66,003",2026-02-19
Ethereum ETH,ETH,"$1,924",2026-02-19
Tether USDT,USDT,$1.00,2026-02-19
Binance Coin BNB,BNB,$599.22,2026-02-19
Bitcoin BTC,BTC,"$66,769",2026-02-20
Ethereum ETH,ETH,"$1,931",2026-02-20
Tether USDT,USDT,$1.00,2026-02-20
Binance Coin BNB,BNB,$602.62,2026-02-20
Bitcoin BTC,BTC,"$68,233",2026-02-21
Ethereum ETH,ETH,"$1,978",2026-02-21
Tether USDT,USDT,$1.00,2026-02-21
Binance Coin BNB,BNB,$630.91,2026-02-21
Bitcoin BTC,BTC,"$67,931",2026-02-22
Ethereum ETH,ETH,"$1,965",2026-02-22
Tether USDT,USDT,$1.00,2026-02-22
Binance Coin BNB,BNB,$620.38,2026-02-22
Bitcoin BTC,BTC,"$66,276",2026-02-23
Ethereum ETH,ETH,"$1,927",2026-02-23
Tether USDT,USDT,$1.00,2026-02-23
Binance Coin BNB,BNB,$610.92,2026-02-23
Bitcoin BTC,BTC,"$62,906",2026-02-24
Ethereum ETH,ETH,"$1,816",2026-02-24
Tether USDT,USDT,$1.00,2026-02-24
Binance Coin BNB,BNB,$582.69,2026-02-24
Bitcoin BTC,BTC,"$66,332",2026-02-25
Ethereum ETH,ETH,"$1,966",2026-02-25
Tether USDT,USDT,$1.00,2026-02-25
Binance Coin BNB,BNB,$614.46,2026-02-25
Bitcoin BTC,BTC,"$67,911",2026-02-26
Ethereum ETH,ETH,"$2,065",2026-02-26
Tether USDT,USDT,$1.00,2026-02-26
Binance Coin BNB,BNB,$626.49,2026-02-26
Bitcoin BTC,BTC,"$66,082",2026-02-27
Ethereum ETH,ETH,"$1,956",2026-02-27
Tether USDT,USDT,$1.00,2026-02-27
Binance Coin BNB,BNB,$612.86,2026-02-27
Bitcoin BTC,BTC,"$64,056",2026-02-28
Ethereum ETH,ETH,"$1,870",2026-02-28
Tether USDT,USDT,$1.00,2026-02-28
Binance Coin BNB,BNB,$597.21,2026-02-28
Bitcoin BTC,BTC,"$66,312",2026-03-01
Ethereum ETH,ETH,"$1,976",2026-03-01
Tether USDT,USDT,$1.00,2026-03-01
Binance Coin BNB,BNB,$620.57,2026-03-01
